state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
VIC,3475,174,165,7615982,43770,37863,2548,681
VIC,3477,490,480,32755891,66849,46497,1174,280
VIC,3478,1384,1364,75493228,54547,45329,2091,541
VIC,3480,1053,1042,56378401,53541,45070,2166,569
VIC,3482,101,101,2826718,27987,42458,2615,698
VIC,3483,572,563,37001902,64689,54591,1317,317
VIC,3485,166,162,9263851,55806,48487,1992,507
VIC,3487,66,65,4835877,73271,57938,786,173
VIC,3488,66,64,4131002,62591,47574,1467,358
VIC,3490,704,693,38408974,54558,49023,2089,540
VIC,3491,89,86,6201418,69679,48122,979,222
VIC,3494,344,332,17559211,51044,47119,2318,622
VIC,3496,3857,3804,199105405,51622,46605,2279,611
VIC,3498,3606,3553,216384585,60007,50415,1656,417
VIC,3500,20431,20182,1126526781,55138,46928,2046,522
VIC,3501,1796,1779,119155439,66345,53238,1204,287
VIC,3502,567,561,44592210,78646,47701,556,125
VIC,3505,2779,2739,148870313,53570,48356,2163,568
VIC,3507,74,73,5525703,74672,53042,709,154
VIC,3509,141,137,9707794,68850,56040,1029,239
VIC,3512,206,201,9928329,48196,43399,2441,655
VIC,3515,1638,1630,108022135,65948,56655,1235,295
VIC,3516,446,441,26852063,60206,46270,1642,411
VIC,3517,740,721,33903067,45815,40511,2518,674
VIC,3518,671,665,33056213,49264,42128,2395,643
VIC,3520,60,59,2297131,38286,32450,2598,696
VIC,3521,439,435,30139422,68655,53338,1050,245
VIC,3522,177,175,10530565,59495,49179,1703,428
VIC,3523,2006,1978,113325445,56493,45699,1927,487
VIC,3525,773,762,40776748,52751,43009,2210,586
VIC,3527,451,440,27781644,61600,47053,1538,378
VIC,3529,81,79,5377246,66386,49896,1201,286
VIC,3530,68,68,4306520,63331,52264,1406,341
VIC,3531,115,112,8286391,72056,60896,846,183
VIC,3533,429,418,28976409,67544,51268,1124,259
VIC,3537,611,597,31717688,51911,43652,2263,606
VIC,3540,161,159,12343338,76667,55582,626,139
VIC,3542,104,102,5047373,48532,41503,2423,650
VIC,3544,147,144,7983963,54313,48918,2107,547
VIC,3546,268,262,18602166,69411,58771,998,230
VIC,3549,2856,2790,123360197,43193,32269,2556,683
VIC,3550,24791,24572,1596257506,64389,51835,1346,329
VIC,3551,22776,22584,1549823682,68046,57335,1079,249
VIC,3552,149,148,10500876,70476,51911,938,210
VIC,3555,11748,11664,675343694,57486,50274,1842,463
VIC,3556,7995,7929,444132519,55551,50854,2014,512
VIC,3557,570,563,35237132,61820,50418,1528,374
VIC,3558,566,561,32316331,57096,46105,1874,471
VIC,3559,313,306,16726436,53439,45994,2173,572
